size: 45056 cycles: 62314453 cycles_per_loc:   6.91522 L1miss: 1126678 L1miss_frac:   0.12503 L2miss: 1653742 L2miss_frac:   0.18352
size: 46080 cycles: 65099684 cycles_per_loc:   7.06377 L1miss: 1152189 L1miss_frac:   0.12502 L2miss: 1836640 L2miss_frac:   0.19929
size: 47104 cycles: 65510494 cycles_per_loc:   6.95381 L1miss: 1177717 L1miss_frac:   0.12501 L2miss: 1876407 L2miss_frac:   0.19918
size: 48128 cycles: 66772266 cycles_per_loc:   6.93695 L1miss: 1203455 L1miss_frac:   0.12503 L2miss: 1934641 L2miss_frac:   0.20099
size: 49152 cycles: 67990080 cycles_per_loc:   6.91631 L1miss: 1229151 L1miss_frac:   0.12504 L2miss: 2034740 L2miss_frac:   0.20698
size: 50176 cycles: 69363171 cycles_per_loc:   6.91199 L1miss: 1254733 L1miss_frac:   0.12503 L2miss: 2160065 L2miss_frac:   0.21525
size: 51200 cycles: 71088463 cycles_per_loc:   6.94223 L1miss: 1280224 L1miss_frac:   0.12502 L2miss: 2221761 L2miss_frac:   0.21697
size: 52224 cycles: 72156185 cycles_per_loc:   6.90834 L1miss: 1305926 L1miss_frac:   0.12503 L2miss: 2273479 L2miss_frac:   0.21767
size: 53248 cycles: 73592251 cycles_per_loc:   6.91033 L1miss: 1331530 L1miss_frac:   0.12503 L2miss: 2367041 L2miss_frac:   0.22227
size: 54272 cycles: 74991935 cycles_per_loc:   6.90890 L1miss: 1357140 L1miss_frac:   0.12503 L2miss: 2452853 L2miss_frac:   0.22598
size: 55296 cycles: 76390972 cycles_per_loc:   6.90746 L1miss: 1382724 L1miss_frac:   0.12503 L2miss: 2566940 L2miss_frac:   0.23211
size: 56320 cycles: 77787828 cycles_per_loc:   6.90588 L1miss: 1408320 L1miss_frac:   0.12503 L2miss: 2644629 L2miss_frac:   0.23479
size: 57344 cycles: 79779013 cycles_per_loc:   6.95618 L1miss: 1433882 L1miss_frac:   0.12502 L2miss: 2714133 L2miss_frac:   0.23665
size: 58368 cycles: 80637776 cycles_per_loc:   6.90770 L1miss: 1459484 L1miss_frac:   0.12502 L2miss: 2842933 L2miss_frac:   0.24354
size: 59392 cycles: 82575661 cycles_per_loc:   6.95175 L1miss: 1484947 L1miss_frac:   0.12501 L2miss: 2957938 L2miss_frac:   0.24902
size: 60416 cycles: 83421359 cycles_per_loc:   6.90391 L1miss: 1510655 L1miss_frac:   0.12502 L2miss: 3012956 L2miss_frac:   0.24935
size: 61440 cycles: 84835324 cycles_per_loc:   6.90392 L1miss: 1536248 L1miss_frac:   0.12502 L2miss: 3055674 L2miss_frac:   0.24867
size: 62464 cycles: 86230215 cycles_per_loc:   6.90239 L1miss: 1561840 L1miss_frac:   0.12502 L2miss: 3116637 L2miss_frac:   0.24947
size: 63488 cycles: 87620531 cycles_per_loc:   6.90056 L1miss: 1587467 L1miss_frac:   0.12502 L2miss: 3180812 L2miss_frac:   0.25050
size: 64512 cycles: 89027299 cycles_per_loc:   6.90006 L1miss: 1613047 L1miss_frac:   0.12502 L2miss: 3251188 L2miss_frac:   0.25198
size: 65536 cycles: 90527059 cycles_per_loc:   6.90667 L1miss: 1638664 L1miss_frac:   0.12502 L2miss: 3311890 L2miss_frac:   0.25268
size: 66560 cycles: 91949129 cycles_per_loc:   6.90724 L1miss: 1664266 L1miss_frac:   0.12502 L2miss: 3363216 L2miss_frac:   0.25265
size: 67584 cycles: 93311404 cycles_per_loc:   6.90336 L1miss: 1689826 L1miss_frac:   0.12502 L2miss: 3445379 L2miss_frac:   0.25490
size: 68608 cycles: 94735994 cycles_per_loc:   6.90415 L1miss: 1715468 L1miss_frac:   0.12502 L2miss: 3499790 L2miss_frac:   0.25506
size: 69632 cycles: 96247821 cycles_per_loc:   6.91118 L1miss: 1741071 L1miss_frac:   0.12502 L2miss: 3546861 L2miss_frac:   0.25469
size: 70656 cycles: 97651293 cycles_per_loc:   6.91033 L1miss: 1766659 L1miss_frac:   0.12502 L2miss: 3620386 L2miss_frac:   0.25620
size: 71680 cycles: 99309550 cycles_per_loc:   6.92728 L1miss: 1792261 L1miss_frac:   0.12502 L2miss: 3665160 L2miss_frac:   0.25566
size: 72704 cycles: 100493987 cycles_per_loc:   6.91117 L1miss: 1817895 L1miss_frac:   0.12502 L2miss: 3713601 L2miss_frac:   0.25539
size: 73728 cycles: 101948387 cycles_per_loc:   6.91382 L1miss: 1843479 L1miss_frac:   0.12502 L2miss: 3777844 L2miss_frac:   0.25620
size: 74752 cycles: 103288008 cycles_per_loc:   6.90871 L1miss: 1869076 L1miss_frac:   0.12502 L2miss: 3827887 L2miss_frac:   0.25604
size: 75776 cycles: 104713553 cycles_per_loc:   6.90941 L1miss: 1894667 L1miss_frac:   0.12502 L2miss: 3881494 L2miss_frac:   0.25612
size: 76800 cycles: 106117076 cycles_per_loc:   6.90866 L1miss: 1920269 L1miss_frac:   0.12502 L2miss: 3933890 L2miss_frac:   0.25611
size: 77824 cycles: 107514636 cycles_per_loc:   6.90755 L1miss: 1945868 L1miss_frac:   0.12502 L2miss: 3983316 L2miss_frac:   0.25592
size: 78848 cycles: 108932644 cycles_per_loc:   6.90776 L1miss: 1971475 L1miss_frac:   0.12502 L2miss: 4039719 L2miss_frac:   0.25617
size: 79872 cycles: 110357431 cycles_per_loc:   6.90839 L1miss: 1997068 L1miss_frac:   0.12502 L2miss: 4093854 L2miss_frac:   0.25628
size: 80896 cycles: 111750226 cycles_per_loc:   6.90703 L1miss: 2022676 L1miss_frac:   0.12502 L2miss: 4141268 L2miss_frac:   0.25596
size: 81920 cycles: 113221417 cycles_per_loc:   6.91049 L1miss: 2048250 L1miss_frac:   0.12502 L2miss: 4195806 L2miss_frac:   0.25609
size: 82944 cycles: 115155462 cycles_per_loc:   6.94176 L1miss: 2073745 L1miss_frac:   0.12501 L2miss: 4251265 L2miss_frac:   0.25627
size: 83968 cycles: 115970220 cycles_per_loc:   6.90562 L1miss: 2099530 L1miss_frac:   0.12502 L2miss: 4301168 L2miss_frac:   0.25612
size: 84992 cycles: 117490088 cycles_per_loc:   6.91183 L1miss: 2125142 L1miss_frac:   0.12502 L2miss: 4354777 L2miss_frac:   0.25619
size: 86016 cycles: 120243566 cycles_per_loc:   6.98960 L1miss: 2150774 L1miss_frac:   0.12502 L2miss: 4412419 L2miss_frac:   0.25649
size: 87040 cycles: 120879700 cycles_per_loc:   6.94392 L1miss: 2176346 L1miss_frac:   0.12502 L2miss: 4461132 L2miss_frac:   0.25627
size: 88064 cycles: 122977799 cycles_per_loc:   6.98230 L1miss: 2201944 L1miss_frac:   0.12502 L2miss: 4522551 L2miss_frac:   0.25678
size: 89088 cycles: 123153708 cycles_per_loc:   6.91191 L1miss: 2227188 L1miss_frac:   0.12500 L2miss: 4573784 L2miss_frac:   0.25670
size: 90112 cycles: 124495813 cycles_per_loc:   6.90784 L1miss: 2253105 L1miss_frac:   0.12502 L2miss: 4628415 L2miss_frac:   0.25681
size: 91136 cycles: 127088749 cycles_per_loc:   6.97248 L1miss: 2278537 L1miss_frac:   0.12501 L2miss: 4684964 L2miss_frac:   0.25703
size: 92160 cycles: 127306200 cycles_per_loc:   6.90680 L1miss: 2304143 L1miss_frac:   0.12501 L2miss: 4732424 L2miss_frac:   0.25675
size: 93184 cycles: 128695209 cycles_per_loc:   6.90543 L1miss: 2329808 L1miss_frac:   0.12501 L2miss: 4786167 L2miss_frac:   0.25681
size: 94208 cycles: 130201835 cycles_per_loc:   6.91034 L1miss: 2355552 L1miss_frac:   0.12502 L2miss: 4837971 L2miss_frac:   0.25677
size: 95232 cycles: 131761541 cycles_per_loc:   6.91792 L1miss: 2381147 L1miss_frac:   0.12502 L2miss: 4888992 L2miss_frac:   0.25669
size: 96256 cycles: 133269545 cycles_per_loc:   6.92266 L1miss: 2406753 L1miss_frac:   0.12502 L2miss: 4940693 L2miss_frac:   0.25664
size: 97280 cycles: 134549970 cycles_per_loc:   6.91560 L1miss: 2432355 L1miss_frac:   0.12502 L2miss: 4994775 L2miss_frac:   0.25672
size: 98304 cycles: 135923013 cycles_per_loc:   6.91340 L1miss: 2457952 L1miss_frac:   0.12502 L2miss: 5049558 L2miss_frac:   0.25683
size: 99328 cycles: 137364461 cycles_per_loc:   6.91469 L1miss: 2483489 L1miss_frac:   0.12501 L2miss: 5100878 L2miss_frac:   0.25677
size: 100352 cycles: 138921754 cycles_per_loc:   6.92172 L1miss: 2509058 L1miss_frac:   0.12501 L2miss: 5151744 L2miss_frac:   0.25668
size: 101376 cycles: 140092220 cycles_per_loc:   6.90954 L1miss: 2534618 L1miss_frac:   0.12501 L2miss: 5205659 L2miss_frac:   0.25675
size: 102400 cycles: 141580316 cycles_per_loc:   6.91310 L1miss: 2560345 L1miss_frac:   0.12502 L2miss: 5256807 L2miss_frac:   0.25668
size: 103424 cycles: 143520676 cycles_per_loc:   6.93846 L1miss: 2585999 L1miss_frac:   0.12502 L2miss: 5311921 L2miss_frac:   0.25680
size: 104448 cycles: 144695075 cycles_per_loc:   6.92666 L1miss: 2611455 L1miss_frac:   0.12501 L2miss: 5365894 L2miss_frac:   0.25687
size: 105472 cycles: 145764442 cycles_per_loc:   6.91010 L1miss: 2637153 L1miss_frac:   0.12502 L2miss: 5412426 L2miss_frac:   0.25658
size: 106496 cycles: 147115676 cycles_per_loc:   6.90710 L1miss: 2662756 L1miss_frac:   0.12502 L2miss: 5466032 L2miss_frac:   0.25663
size: 107520 cycles: 148534387 cycles_per_loc:   6.90729 L1miss: 2688367 L1miss_frac:   0.12502 L2miss: 5522404 L2miss_frac:   0.25681
size: 108544 cycles: 151196382 cycles_per_loc:   6.96475 L1miss: 2713739 L1miss_frac:   0.12501 L2miss: 5577197 L2miss_frac:   0.25691
size: 109568 cycles: 153018678 cycles_per_loc:   6.98282 L1miss: 2739582 L1miss_frac:   0.12502 L2miss: 5633363 L2miss_frac:   0.25707
size: 110592 cycles: 154430984 cycles_per_loc:   6.98201 L1miss: 2765178 L1miss_frac:   0.12502 L2miss: 5680715 L2miss_frac:   0.25683
size: 111616 cycles: 155943527 cycles_per_loc:   6.98572 L1miss: 2790697 L1miss_frac:   0.12501 L2miss: 5732980 L2miss_frac:   0.25682
size: 112640 cycles: 159521578 cycles_per_loc:   7.08104 L1miss: 2816394 L1miss_frac:   0.12502 L2miss: 5788172 L2miss_frac:   0.25693
size: 113664 cycles: 158926417 cycles_per_loc:   6.99106 L1miss: 2841984 L1miss_frac:   0.12502 L2miss: 5840892 L2miss_frac:   0.25694
size: 114688 cycles: 160517642 cycles_per_loc:   6.99801 L1miss: 2867515 L1miss_frac:   0.12501 L2miss: 5893604 L2miss_frac:   0.25694
size: 115712 cycles: 161426324 cycles_per_loc:   6.97535 L1miss: 2893168 L1miss_frac:   0.12502 L2miss: 5943410 L2miss_frac:   0.25682
size: 116736 cycles: 161849316 cycles_per_loc:   6.93228 L1miss: 2918768 L1miss_frac:   0.12502 L2miss: 5996633 L2miss_frac:   0.25685
size: 117760 cycles: 162783937 cycles_per_loc:   6.91168 L1miss: 2944344 L1miss_frac:   0.12501 L2miss: 6047880 L2miss_frac:   0.25679
size: 118784 cycles: 164198757 cycles_per_loc:   6.91165 L1miss: 2969959 L1miss_frac:   0.12502 L2miss: 6100835 L2miss_frac:   0.25680
size: 119808 cycles: 165648885 cycles_per_loc:   6.91310 L1miss: 2995540 L1miss_frac:   0.12501 L2miss: 6149635 L2miss_frac:   0.25665
size: 120832 cycles: 166993789 cycles_per_loc:   6.91016 L1miss: 3021165 L1miss_frac:   0.12502 L2miss: 6212568 L2miss_frac:   0.25707
size: 121856 cycles: 168471898 cycles_per_loc:   6.91275 L1miss: 3046785 L1miss_frac:   0.12502 L2miss: 6281234 L2miss_frac:   0.25773
size: 122880 cycles: 169915275 cycles_per_loc:   6.91387 L1miss: 3072365 L1miss_frac:   0.12501 L2miss: 6311921 L2miss_frac:   0.25683
size: 123904 cycles: 171310800 cycles_per_loc:   6.91305 L1miss: 3097949 L1miss_frac:   0.12501 L2miss: 6362620 L2miss_frac:   0.25676
size: 124928 cycles: 172744762 cycles_per_loc:   6.91377 L1miss: 3123544 L1miss_frac:   0.12501 L2miss: 6415243 L2miss_frac:   0.25676
size: 125952 cycles: 174119792 cycles_per_loc:   6.91215 L1miss: 3149162 L1miss_frac:   0.12501 L2miss: 6465098 L2miss_frac:   0.25665
size: 126976 cycles: 175562807 cycles_per_loc:   6.91323 L1miss: 3174757 L1miss_frac:   0.12501 L2miss: 6519040 L2miss_frac:   0.25670
size: 128000 cycles: 177289018 cycles_per_loc:   6.92535 L1miss: 3200354 L1miss_frac:   0.12501 L2miss: 6575043 L2miss_frac:   0.25684
size: 129024 cycles: 178803488 cycles_per_loc:   6.92908 L1miss: 3225803 L1miss_frac:   0.12501 L2miss: 6628788 L2miss_frac:   0.25688
size: 130048 cycles: 179848028 cycles_per_loc:   6.91468 L1miss: 3251453 L1miss_frac:   0.12501 L2miss: 6676332 L2miss_frac:   0.25669
